12,铍,Be,0.000,0+, 25.0777,21.47 ms 4 , β- : 100.00 %  β-n : 0.50 % ,11708.4 23,-2.393E+4 3,-2.495E+4 3,3170.7 19,,,8338.7 19,-3115.5 19,5720.72 16,-318.06 16,1840 5,22939.5 20,2102 12,2102 12,,-2425.9 22,-8956.8 19,3.870E+4 9,25077.8 19,3672.4 19
11,锂,Li,0.0,3/2-, 40.7282,8.75 ms 14 , β- : 100.00 %  β-n : 86.60 %  β-2n : 4.20 %  β-3n : 1.90 %  β-nα : 0.03 % ,20551.1 7,,,396 13,,,20049.4 6,13237.2 6,4155.38 6,-1335.98 6,303 16,1.576E+4 9,1266 42,,,-1.7E+3 5,-1.08E+4 10,,32060.6 6,369.3 6
10,氦,He,0.0,0+, 49.1971,300 keV 200 , n : 100.00 % ,1.614E+4 9,,,-1.9E+2 10,,,1.617E+4 9,1.211E+4 9,2995 9,-3474 9,,,32.4E2 20,32.4E2 20,6800 70,,,,3.659E+4 9,-1.44E+3 9
24,磷,P,0.0,(1+), 33.3200, , ε ?   p ?  ,,2.26E+4 5,2.16E+4 5,,3.34E+4 5,1.93E+4 5,,,6194 21,-398 21,,,,,,,,-5.E+2 6,,
23,硅,Si,0.0,(5/2)+, 23.6970,42.3 ms 4 , ε : 100.00 %  εp : 71.00 %  ε2p : 3.60 % ,,1.69E+4 5,1.59E+4 5,1.77E+4 7,2.92E+4 5,1.68E+4 5,,,6565 22,-216 22,1.6E+3 4,1.8E+3 6,,,,7.E+2 4,-1.06E+4 5,1.8E+3 5,,
22,铝,Al,0.0,4+, 18.2010,91.1 ms 5 , ε : 100.00 %  εp : 55.00 %  ε2p : 1.10 %  εα : 0.04 % ,-1.51E+4 6,1.86E+4 4,1.76E+4 4,1.77E+4 7,2.34E+4 4,1.31E+4 4,,,6782 18,-132 18,1.3E+3 4,0 AP,1850,,,0 AP,-9.3E+3 4,3.2E+3 4,,
21,镁,Mg,0.0,5/2+, 10.9038,122 ms 3 3 , ε : 100.00 %  εp : 32.60 %  εα < 0.50 % ,-1.61E+4 6,13088.5 8,12066.5 8,14645.2 20,16635.6 8,10656.8 8,,,7105.03 4,43.16 4,2365.0 11,3235.7 14,201 4,,,-740 5,-8021.5 8,5426.1 8,,3.707E+4 5
20,钠,Na,0.0,2+, 6.8506,447.9 ms 23 , ε : 100.00 %  εα : 20.10 % ,-10627.1 22,13892.5 11,12870.5 11,14150 11,6868.1 11,1049.1 11,-3.305E+4 5,,7298.50 6,34.07 6,1478 5,2190.4 11,596 8,,,-1535 4,-6255 8,8600.5 12,,3.433E+4 9
19,氖,Ne,0.0,1/2+, 1.7520,17.22 s 2 , ε : 100.00 % ,-11177 11,3239.49 16,2217.50 16,11636.9 4,-1581 3,-4754.10 16,-3.136E+4 9,-4.96E+4 10,7567.343 8,142.330 8,2614.20 21,6410.0 5,238.27 11,,,-3061.0 3,-3528.5 5,12017.13 16,-3.008E+4 5,30891.0 4
18,氟,F,0.0,1+, 0.8731,109.77 m 5 , ε : 100.00 % ,-4444.5 6,1655.9 5,633.9 5,9149.9 5,-12240 19,-14286 15,-23698.7 6,-39256 20,7631.64 3,45.56 3,641.0 4,5607.1 5,937.20 6,,,-2032.2 3,-4415.2 5,19388.7 23,-2.416E+4 9,25950 8
17,氧,O,0.0,5/2+, -0.8087,STABLE,0.038% 1 ,-2760.47 25,-8679 15,-9701 15,4143.0801,-21841 17,-21792 4,-19560 8,-33518 14,7750.728,59.109,1951.148,13781.6 23,870.73 10,,,-494.620 20,-6358.69,25259.8 8,-17309.2 3,19807.0 5
16,氮,N,0.0,2-, 5.6839,7.13 s 2 , β- : 100.00 %  β-α : 1.2E-3 % ,10420.9 23,-8010 4,-9032 4,2488.9 23,-31429 25,-30563 21,-5243.0 23,-18466.5 23,7373.80 14,1.52 14,1698 8,13781.6 23,120.42 12,,,992.1 18,-10110 3,32558 21,-4996 9,13322.1 23
15,碳,C,0.0,1/2+, 9.8731,2.449 s 5 , β- : 100.00 % ,9771.7 8,-19085 21,-20107 21,1218.1 8,-3.995E+4 17,-3.737E+4 13,-1061.6 8,-11615.0 8,7100.17 5,-77.07 5,1516.1 19,21080 21,740.0 15,,,1881.9 14,-12728.9 8,38364 10,7017.5 9,9394.5 8
14,硼,B,0.000,2-, 23.6636,12.36 ms 29 , β- : 100.00 %  β-n : 6.04 % ,20644 21,-1.629E+4 13,-1.731E+4 13,970 21,,-4.061E+4 7,12467 21,7521 21,6101.6 15,-277.7 15,904 18,17284 24,740 40,,,-581 19,-11814 25,3.992E+4 4,20800 21,5848 21
13,铍,Be,0.0,(1/2-), 33.6590,2.7×10-21 s 18 , n   ,17097 10,-2.332E+4 7,-2.434E+4 7,-510 10,,,12218 10,8849 10,5241.4 8,-749.1 8,1.14E+3 7,2.264E+4 3,,,,-2.68E+3 3,-9.70E+3 5,,30534 10,2661 10
12,锂,Li, , , 49.0095,< 10 ns, n ?  ,2.393E+4 3,,,-2.1E+2 3,,,2.076E+4 3,2.026E+4 3,3792 3,-2025 3,1.5E+2 4,,,,,,,,3.564E+4 3,1.9E+2 3
